"ID";"Landen";"Perioden";"TotaalAsielverzoeken_1"
"0";"L008530";"2008JJ00";"   225.1"
"1";"L008530";"2009JJ00";"   263.8"
"2";"L008530";"2010JJ00";"   259.4"
"3";"L008530";"2011JJ00";"   309.0"
"4";"L008530";"2012JJ00";"   335.3"
"5";"L008530";"2013JJ00";"   431.1"
"6";"L008530";"2014JJ00";"   627.0"
"7";"L008530";"2015JJ00";"  1322.8"
"8";"L008530";"2016JJ00";"  1260.9"
"9";"L008552";"2008JJ00";"    15.2"
"10";"L008552";"2009JJ00";"    21.6"
"11";"L008552";"2010JJ00";"    26.1"
"12";"L008552";"2011JJ00";"    31.9"
"13";"L008552";"2012JJ00";"    28.1"
"14";"L008552";"2013JJ00";"    21.0"
"15";"L008552";"2014JJ00";"    22.7"
"16";"L008552";"2015JJ00";"    44.7"
"17";"L008552";"2016JJ00";"    18.3"
"18";"L008567";"2008JJ00";"     0.7"
"19";"L008567";"2009JJ00";"     0.9"
"20";"L008567";"2010JJ00";"     1.0"
"21";"L008567";"2011JJ00";"     0.9"
"22";"L008567";"2012JJ00";"     1.4"
"23";"L008567";"2013JJ00";"     7.1"
"24";"L008567";"2014JJ00";"    11.1"
"25";"L008567";"2015JJ00";"    20.4"
"26";"L008567";"2016JJ00";"    19.4"
"27";"L008587";"2008JJ00";"     3.9"
"28";"L008587";"2009JJ00";"     3.2"
"29";"L008587";"2010JJ00";"     2.9"
"30";"L008587";"2011JJ00";"     1.8"
"31";"L008587";"2012JJ00";"     1.6"
"32";"L008587";"2013JJ00";"     1.3"
"33";"L008587";"2014JJ00";"     1.7"
"34";"L008587";"2015JJ00";"     2.3"
"35";"L008587";"2016JJ00";"     2.9"
"36";"L008588";"2008JJ00";"     2.4"
"37";"L008588";"2009JJ00";"     3.7"
"38";"L008588";"2010JJ00";"     5.1"
"39";"L008588";"2011JJ00";"     3.9"
"40";"L008588";"2012JJ00";"     6.0"
"41";"L008588";"2013JJ00";"     7.2"
"42";"L008588";"2014JJ00";"    14.7"
"43";"L008588";"2015JJ00";"    20.9"
"44";"L008588";"2016JJ00";"     6.2"
"45";"L008592";"2008JJ00";"    26.8"
"46";"L008592";"2009JJ00";"    32.9"
"47";"L008592";"2010JJ00";"    48.5"
"48";"L008592";"2011JJ00";"    53.2"
"49";"L008592";"2012JJ00";"    77.5"
"50";"L008592";"2013JJ00";"   126.7"
"51";"L008592";"2014JJ00";"   202.6"
"52";"L008592";"2015JJ00";"   476.5"
"53";"L008592";"2016JJ00";"   745.2"
"54";"L008598";"2008JJ00";"     0.0"
"55";"L008598";"2009JJ00";"     0.0"
"56";"L008598";"2010JJ00";"     0.0"
"57";"L008598";"2011JJ00";"     0.1"
"58";"L008598";"2012JJ00";"     0.1"
"59";"L008598";"2013JJ00";"     0.1"
"60";"L008598";"2014JJ00";"     0.2"
