"ID";"Nationaliteit";"Perioden";"TotaalAsielverzoekenEnNareizigers_1"
"0";"T001059  ";"1975JJ00";"     390"
"1";"T001059  ";"1976JJ00";"     470"
"2";"T001059  ";"1977JJ00";"     580"
"3";"T001059  ";"1978JJ00";"     770"
"4";"T001059  ";"1979JJ00";"     990"
"5";"T001059  ";"1980JJ00";"    1330"
"6";"T001059  ";"1981JJ00";"     750"
"7";"T001059  ";"1982JJ00";"    1215"
"8";"T001059  ";"1983JJ00";"    2015"
"9";"T001059  ";"1984JJ00";"    2605"
"10";"T001059  ";"1985JJ00";"    5645"
"11";"T001059  ";"1986JJ00";"    5865"
"12";"T001059  ";"1987JJ00";"   13460"
"13";"T001059  ";"1988JJ00";"    7485"
"14";"T001059  ";"1989JJ00";"   13900"
"15";"T001059  ";"1990JJ00";"   21210"
"16";"T001059  ";"1991JJ00";"   21615"
"17";"T001059  ";"1992JJ00";"   20345"
"18";"T001059  ";"1993JJ00";"   35400"
"19";"T001059  ";"1994JJ00";"   52575"
"20";"T001059  ";"1995JJ00";"   29260"
"21";"T001059  ";"1996JJ00";"   22855"
"22";"T001059  ";"1997JJ00";"   34445"
"23";"T001059  ";"1998JJ00";"   45215"
"24";"T001059  ";"1999JJ00";"   39305"
"25";"T001059  ";"2000JJ00";"   43560"
"26";"T001059  ";"2001JJ00";"   32580"
"27";"T001059  ";"2002JJ00";"   18665"
"28";"T001059  ";"2003JJ00";"   13400"
"29";"T001059  ";"2004JJ00";"    9780"
"30";"T001059  ";"2005JJ00";"   12345"
"31";"T001059  ";"2006JJ00";"   14465"
"32";"T001059  ";"2007JJ00";"    9730"
"33";"T001059  ";"2008JJ00";"   15275"
"34";"T001059  ";"2009JJ00";"   16165"
"35";"T001059  ";"2010JJ00";"   15155"
"36";"T001059  ";"2011JJ00";"   14630"
"37";"T001059  ";"2012JJ00";"   13170"
"38";"T001059  ";"2013JJ00";"   16725"
"39";"T001059  ";"2014JJ00";"   29890"
"40";"T001059  ";"2015JJ00";"   58880"
"41";"T001059  ";"2016JJ00";"   32840"
"42";"T001059  ";"2017JJ00";"   32755"
"43";"T001059  ";"2018JJ00";"   30540"
"44";"NAT9276  ";"1975JJ00";"       ."
"45";"NAT9276  ";"1976JJ00";"       ."
"46";"NAT9276  ";"1977JJ00";"       ."
"47";"NAT9276  ";"1978JJ00";"       ."
"48";"NAT9276  ";"1979JJ00";"       ."
"49";"NAT9276  ";"1980JJ00";"       ."
"50";"NAT9276  ";"1981JJ00";"       ."
"51";"NAT9276  ";"1982JJ00";"       ."
"52";"NAT9276  ";"1983JJ00";"       ."
"53";"NAT9276  ";"1984JJ00";"       ."
"54";"NAT9276  ";"1985JJ00";"       ."
"55";"NAT9276  ";"1986JJ00";"       ."
"56";"NAT9276  ";"1987JJ00";"       ."
"57";"NAT9276  ";"1988JJ00";"      10"
"58";"NAT9276  ";"1989JJ00";"      50"
"59";"NAT9276  ";"1990JJ00";"     225"
"60";"NAT9276  ";"1991JJ00";"    1015"
"61";"NAT9276  ";"1992JJ00";"     625"
"62";"NAT9276  ";"1993JJ00";"    1595"
"63";"NAT9276  ";"1994JJ00";"    4525"
"64";"NAT9276  ";"1995JJ00";"    1885"
"65";"NAT9276  ";"1996JJ00";"    1700"
"66";"NAT9276  ";"1997JJ00";"    1960"
"67";"NAT9276  ";"1998JJ00";"    3230"
"68";"NAT9276  ";"1999JJ00";"    5520"
"69";"NAT9276  ";"2000JJ00";"    4180"
"70";"NAT9276  ";"2001JJ00";"    3245"
"71";"NAT9276  ";"2002JJ00";"    1900"
"72";"NAT9276  ";"2003JJ00";"    1115"
"73";"NAT9276  ";"2004JJ00";"     915"
"74";"NAT9276  ";"2005JJ00";"    1185"
"75";"NAT9276  ";"2006JJ00";"    1330"
"76";"NAT9276  ";"2007JJ00";"     495"
"77";"NAT9276  ";"2008JJ00";"     630"
"78";"NAT9276  ";"2009JJ00";"    1225"
"79";"NAT9276  ";"2010JJ00";"    1775"
"80";"NAT9276  ";"2011JJ00";"    1875"
"81";"NAT9276  ";"2012JJ00";"    1685"
"82";"NAT9276  ";"2013JJ00";"    1050"
"83";"NAT9276  ";"2014JJ00";"    1205"
"84";"NAT9276  ";"2015JJ00";"    1500"
"85";"NAT9276  ";"2016JJ00";"    1380"
"86";"NAT9276  ";"2017JJ00";"    1920"
"87";"NAT9276  ";"2018JJ00";"    2800"
"88";"NAT9277  ";"1975JJ00";"       ."
"89";"NAT9277  ";"1976JJ00";"       ."
"90";"NAT9277  ";"1977JJ00";"       ."
"91";"NAT9277  ";"1978JJ00";"       ."
"92";"NAT9277  ";"1979JJ00";"       ."
"93";"NAT9277  ";"1980JJ00";"       ."
"94";"NAT9277  ";"1981JJ00";"       ."
"95";"NAT9277  ";"1982JJ00";"      10"
"96";"NAT9277  ";"1983JJ00";"      10"
"97";"NAT9277  ";"1984JJ00";"      15"
"98";"NAT9277  ";"1985JJ00";"      15"
"99";"NAT9277  ";"1986JJ00";"      15"
"100";"NAT9277  ";"1987JJ00";"      65"
"101";"NAT9277  ";"1988JJ00";"     120"
"102";"NAT9277  ";"1989JJ00";"     505"
"103";"NAT9277  ";"1990JJ00";"     580"
"104";"NAT9277  ";"1991JJ00";"    2735"
"105";"NAT9277  ";"1992JJ00";"    5620"
"106";"NAT9277  ";"1993JJ00";"   10185"
"107";"NAT9277  ";"1994JJ00";"   13440"
"108";"NAT9277  ";"1995JJ00";"    6150"
"109";"NAT9277  ";"1996JJ00";"    1975"
"110";"NAT9277  ";"1997JJ00";"    3790"
"111";"NAT9277  ";"1998JJ00";"    8330"
"112";"NAT9277  ";"1999JJ00";"    5080"
"113";"NAT9277  ";"2000JJ00";"    5650"
"114";"NAT9277  ";"2001JJ00";"    2200"
"115";"NAT9277  ";"2002JJ00";"     855"
"116";"NAT9277  ";"2003JJ00";"     545"
"117";"NAT9277  ";"2004JJ00";"     500"
"118";"NAT9277  ";"2005JJ00";"     450"
"119";"NAT9277  ";"2006JJ00";"     775"
"120";"NAT9277  ";"2007JJ00";"      95"
"121";"NAT9277  ";"2008JJ00";"      65"
"122";"NAT9277  ";"2009JJ00";"     135"
"123";"NAT9277  ";"2010JJ00";"     520"
"124";"NAT9277  ";"2011JJ00";"     445"
"125";"NAT9277  ";"2012JJ00";"     320"
"126";"NAT9277  ";"2013JJ00";"     515"
"127";"NAT9277  ";"2014JJ00";"     515"
"128";"NAT9277  ";"2015JJ00";"    1380"
"129";"NAT9277  ";"2016JJ00";"    2180"
"130";"NAT9277  ";"2017JJ00";"     460"
"131";"NAT9277  ";"2018JJ00";"     365"
"132";"NAT9278  ";"1975JJ00";"       ."
"133";"NAT9278  ";"1976JJ00";"       ."
"134";"NAT9278  ";"1977JJ00";"       ."
"135";"NAT9278  ";"1978JJ00";"       ."
"136";"NAT9278  ";"1979JJ00";"       ."
"137";"NAT9278  ";"1980JJ00";"      15"
"138";"NAT9278  ";"1981JJ00";"      15"
"139";"NAT9278  ";"1982JJ00";"      20"
"140";"NAT9278  ";"1983JJ00";"      30"
"141";"NAT9278  ";"1984JJ00";"      35"
"142";"NAT9278  ";"1985JJ00";"     135"
"143";"NAT9278  ";"1986JJ00";"     450"
"144";"NAT9278  ";"1987JJ00";"      65"
"145";"NAT9278  ";"1988JJ00";"      45"
"146";"NAT9278  ";"1989JJ00";"     265"
"147";"NAT9278  ";"1990JJ00";"     570"
"148";"NAT9278  ";"1991JJ00";"     295"
"149";"NAT9278  ";"1992JJ00";"     350"
"150";"NAT9278  ";"1993JJ00";"    1505"
"151";"NAT9278  ";"1994JJ00";"    2525"
"152";"NAT9278  ";"1995JJ00";"    1910"
"153";"NAT9278  ";"1996JJ00";"    3020"
"154";"NAT9278  ";"1997JJ00";"    5920"
"155";"NAT9278  ";"1998JJ00";"    7120"
"156";"NAT9278  ";"1999JJ00";"    4400"
"157";"NAT9278  ";"2000JJ00";"    5030"
"158";"NAT9278  ";"2001JJ00";"    3625"
"159";"NAT9278  ";"2002JJ00";"    1080"
"160";"NAT9278  ";"2003JJ00";"     485"
"161";"NAT9278  ";"2004JJ00";"     690"
"162";"NAT9278  ";"2005JJ00";"     900"
"163";"NAT9278  ";"2006JJ00";"     930"
"164";"NAT9278  ";"2007JJ00";"     520"
