"ID";"Geslacht";"LeeftijdOp31December";"Geboorteland";"BurgerlijkeStaat";"Perioden";"Immigratie_1"
"2879025";"T001038";"60100";"G008533";"T001019";"1995JJ00";"     359"
"2879026";"T001038";"60100";"G008533";"T001019";"1996JJ00";"     686"
"2879027";"T001038";"60100";"G008533";"T001019";"1997JJ00";"     916"
"2879028";"T001038";"60100";"G008533";"T001019";"1998JJ00";"    1017"
"2879029";"T001038";"60100";"G008533";"T001019";"1999JJ00";"    1216"
"2879030";"T001038";"60100";"G008533";"T001019";"2000JJ00";"    1014"
"2879031";"T001038";"60100";"G008533";"T001019";"2001JJ00";"     919"
"2879032";"T001038";"60100";"G008533";"T001019";"2002JJ00";"     536"
"2879033";"T001038";"60100";"G008533";"T001019";"2003JJ00";"     320"
"2879034";"T001038";"60100";"G008533";"T001019";"2004JJ00";"     103"
"2879035";"T001038";"60100";"G008533";"T001019";"2005JJ00";"      97"
"2879036";"T001038";"60100";"G008533";"T001019";"2006JJ00";"      69"
"2879037";"T001038";"60100";"G008533";"T001019";"2007JJ00";"      31"
"2879038";"T001038";"60100";"G008533";"T001019";"2008JJ00";"      31"
"2879039";"T001038";"60100";"G008533";"T001019";"2009JJ00";"      98"
"2879040";"T001038";"60100";"G008533";"T001019";"2010JJ00";"     163"
"2879041";"T001038";"60100";"G008533";"T001019";"2011JJ00";"     173"
"2879042";"T001038";"60100";"G008533";"T001019";"2012JJ00";"     145"
"2879043";"T001038";"60100";"G008533";"T001019";"2013JJ00";"     114"
"2879044";"T001038";"60100";"G008533";"T001019";"2014JJ00";"      93"
"2879045";"T001038";"60100";"G008533";"T001019";"2015JJ00";"      74"
"2879046";"T001038";"60100";"G008533";"T001019";"2016JJ00";"     244"
"2879047";"T001038";"60100";"G008533";"T001019";"2017JJ00";"      80"
"2881900";"T001038";"60100";"G008559";"T001019";"1995JJ00";"     159"
"2881901";"T001038";"60100";"G008559";"T001019";"1996JJ00";"      98"
"2881902";"T001038";"60100";"G008559";"T001019";"1997JJ00";"      47"
"2881903";"T001038";"60100";"G008559";"T001019";"1998JJ00";"      31"
"2881904";"T001038";"60100";"G008559";"T001019";"1999JJ00";"      96"
"2881905";"T001038";"60100";"G008559";"T001019";"2000JJ00";"     122"
"2881906";"T001038";"60100";"G008559";"T001019";"2001JJ00";"      78"
"2881907";"T001038";"60100";"G008559";"T001019";"2002JJ00";"      50"
"2881908";"T001038";"60100";"G008559";"T001019";"2003JJ00";"      38"
"2881909";"T001038";"60100";"G008559";"T001019";"2004JJ00";"      17"
"2881910";"T001038";"60100";"G008559";"T001019";"2005JJ00";"      15"
"2881911";"T001038";"60100";"G008559";"T001019";"2006JJ00";"      15"
"2881912";"T001038";"60100";"G008559";"T001019";"2007JJ00";"      14"
"2881913";"T001038";"60100";"G008559";"T001019";"2008JJ00";"       9"
"2881914";"T001038";"60100";"G008559";"T001019";"2009JJ00";"       9"
"2881915";"T001038";"60100";"G008559";"T001019";"2010JJ00";"      17"
"2881916";"T001038";"60100";"G008559";"T001019";"2011JJ00";"      13"
"2881917";"T001038";"60100";"G008559";"T001019";"2012JJ00";"      18"
"2881918";"T001038";"60100";"G008559";"T001019";"2013JJ00";"      28"
"2881919";"T001038";"60100";"G008559";"T001019";"2014JJ00";"      22"
"2881920";"T001038";"60100";"G008559";"T001019";"2015JJ00";"      14"
"2881921";"T001038";"60100";"G008559";"T001019";"2016JJ00";"      26"
"2881922";"T001038";"60100";"G008559";"T001019";"2017JJ00";"      20"
