"ID";"Geslacht";"LeeftijdOp31December";"Geboorteland";"BurgerlijkeStaat";"Perioden";"Immigratie_1"
"3264735";"3000   ";"10000";"G008533";"T001019";"1995JJ00";"     843"
"3264736";"3000   ";"10000";"G008533";"T001019";"1996JJ00";"    1631"
"3264737";"3000   ";"10000";"G008533";"T001019";"1997JJ00";"    2072"
"3264738";"3000   ";"10000";"G008533";"T001019";"1998JJ00";"    2298"
"3264739";"3000   ";"10000";"G008533";"T001019";"1999JJ00";"    3218"
"3264740";"3000   ";"10000";"G008533";"T001019";"2000JJ00";"    2724"
"3264741";"3000   ";"10000";"G008533";"T001019";"2001JJ00";"    2631"
"3264742";"3000   ";"10000";"G008533";"T001019";"2002JJ00";"    1562"
"3264743";"3000   ";"10000";"G008533";"T001019";"2003JJ00";"     917"
"3264744";"3000   ";"10000";"G008533";"T001019";"2004JJ00";"     358"
"3264745";"3000   ";"10000";"G008533";"T001019";"2005JJ00";"     288"
"3264746";"3000   ";"10000";"G008533";"T001019";"2006JJ00";"     273"
"3264747";"3000   ";"10000";"G008533";"T001019";"2007JJ00";"     251"
"3264748";"3000   ";"10000";"G008533";"T001019";"2008JJ00";"     313"
"3264749";"3000   ";"10000";"G008533";"T001019";"2009JJ00";"     615"
"3264750";"3000   ";"10000";"G008533";"T001019";"2010JJ00";"    1042"
"3264751";"3000   ";"10000";"G008533";"T001019";"2011JJ00";"    1049"
"3264752";"3000   ";"10000";"G008533";"T001019";"2012JJ00";"     767"
"3264753";"3000   ";"10000";"G008533";"T001019";"2013JJ00";"     693"
"3264754";"3000   ";"10000";"G008533";"T001019";"2014JJ00";"     507"
"3264755";"3000   ";"10000";"G008533";"T001019";"2015JJ00";"     524"
"3264756";"3000   ";"10000";"G008533";"T001019";"2016JJ00";"    1562"
"3264757";"3000   ";"10000";"G008533";"T001019";"2017JJ00";"     743"
"3267610";"3000   ";"10000";"G008559";"T001019";"1995JJ00";"     126"
"3267611";"3000   ";"10000";"G008559";"T001019";"1996JJ00";"      70"
"3267612";"3000   ";"10000";"G008559";"T001019";"1997JJ00";"      28"
"3267613";"3000   ";"10000";"G008559";"T001019";"1998JJ00";"      16"
"3267614";"3000   ";"10000";"G008559";"T001019";"1999JJ00";"      54"
"3267615";"3000   ";"10000";"G008559";"T001019";"2000JJ00";"      72"
"3267616";"3000   ";"10000";"G008559";"T001019";"2001JJ00";"      39"
"3267617";"3000   ";"10000";"G008559";"T001019";"2002JJ00";"      32"
"3267618";"3000   ";"10000";"G008559";"T001019";"2003JJ00";"      18"
"3267619";"3000   ";"10000";"G008559";"T001019";"2004JJ00";"      11"
"3267620";"3000   ";"10000";"G008559";"T001019";"2005JJ00";"       9"
"3267621";"3000   ";"10000";"G008559";"T001019";"2006JJ00";"      14"
"3267622";"3000   ";"10000";"G008559";"T001019";"2007JJ00";"      11"
"3267623";"3000   ";"10000";"G008559";"T001019";"2008JJ00";"       9"
"3267624";"3000   ";"10000";"G008559";"T001019";"2009JJ00";"      15"
"3267625";"3000   ";"10000";"G008559";"T001019";"2010JJ00";"      13"
"3267626";"3000   ";"10000";"G008559";"T001019";"2011JJ00";"       9"
"3267627";"3000   ";"10000";"G008559";"T001019";"2012JJ00";"      20"
"3267628";"3000   ";"10000";"G008559";"T001019";"2013JJ00";"      22"
"3267629";"3000   ";"10000";"G008559";"T001019";"2014JJ00";"      23"
"3267630";"3000   ";"10000";"G008559";"T001019";"2015JJ00";"      20"
"3267631";"3000   ";"10000";"G008559";"T001019";"2016JJ00";"      42"
"3267632";"3000   ";"10000";"G008559";"T001019";"2017JJ00";"      25"
"3269335";"3000   ";"10000";"G008575";"T001019";"1995JJ00";"     739"
"3269336";"3000   ";"10000";"G008575";"T001019";"1996JJ00";"     699"
"3269337";"3000   ";"10000";"G008575";"T001019";"1997JJ00";"     829"
"3269338";"3000   ";"10000";"G008575";"T001019";"1998JJ00";"     858"
"3269339";"3000   ";"10000";"G008575";"T001019";"1999JJ00";"     812"
"3269340";"3000   ";"10000";"G008575";"T001019";"2000JJ00";"    1043"
"3269341";"3000   ";"10000";"G008575";"T001019";"2001JJ00";"    1625"
"3269342";"3000   ";"10000";"G008575";"T001019";"2002JJ00";"    1648"
"3269343";"3000   ";"10000";"G008575";"T001019";"2003JJ00";"    1647"
"3269344";"3000   ";"10000";"G008575";"T001019";"2004JJ00";"    1321"
"3269345";"3000   ";"10000";"G008575";"T001019";"2005JJ00";"    1213"
"3269346";"3000   ";"10000";"G008575";"T001019";"2006JJ00";"    1303"
"3269347";"3000   ";"10000";"G008575";"T001019";"2007JJ00";"    1758"
"3269348";"3000   ";"10000";"G008575";"T001019";"2008JJ00";"    2489"
"3269349";"3000   ";"10000";"G008575";"T001019";"2009JJ00";"    2443"
"3269350";"3000   ";"10000";"G008575";"T001019";"2010JJ00";"    2423"
"3269351";"3000   ";"10000";"G008575";"T001019";"2011JJ00";"    3043"
"3269352";"3000   ";"10000";"G008575";"T001019";"2012JJ00";"    2716"
"3269353";"3000   ";"10000";"G008575";"T001019";"2013JJ00";"    2308"
"3269354";"3000   ";"10000";"G008575";"T001019";"2014JJ00";"    2119"
"3269355";"3000   ";"10000";"G008575";"T001019";"2015JJ00";"    2507"
"3269356";"3000   ";"10000";"G008575";"T001019";"2016JJ00";"    2555"
"3269357";"3000   ";"10000";"G008575";"T001019";"2017JJ00";"    3020"
"3271520";"3000   ";"10000";"G008597";"T001019";"1995JJ00";"       5"
"3271521";"3000   ";"10000";"G008597";"T001019";"1996JJ00";"      16"
"3271522";"3000   ";"10000";"G008597";"T001019";"1997JJ00";"      33"
"3271523";"3000   ";"10000";"G008597";"T001019";"1998JJ00";"      27"
"3271524";"3000   ";"10000";"G008597";"T001019";"1999JJ00";"      24"
"3271525";"3000   ";"10000";"G008597";"T001019";"2000JJ00";"      46"
"3271526";"3000   ";"10000";"G008597";"T001019";"2001JJ00";"      50"
"3271527";"3000   ";"10000";"G008597";"T001019";"2002JJ00";"      43"
"3271528";"3000   ";"10000";"G008597";"T001019";"2003JJ00";"      50"
"3271529";"3000   ";"10000";"G008597";"T001019";"2004JJ00";"      42"
"3271530";"3000   ";"10000";"G008597";"T001019";"2005JJ00";"      37"
"3271531";"3000   ";"10000";"G008597";"T001019";"2006JJ00";"      31"
"3271532";"3000   ";"10000";"G008597";"T001019";"2007JJ00";"      59"
"3271533";"3000   ";"10000";"G008597";"T001019";"2008JJ00";"      58"
