"ID";"Geslacht";"LeeftijdOp31December";"Geboorteland";"BurgerlijkeStaat";"Perioden";"Immigratie_1"
"1058";"T001038";"10000";"G008533";"1010   ";"1995JJ00";"    1266"
"1059";"T001038";"10000";"G008533";"1010   ";"1996JJ00";"    2409"
"1060";"T001038";"10000";"G008533";"1010   ";"1997JJ00";"    3055"
"1061";"T001038";"10000";"G008533";"1010   ";"1998JJ00";"    3344"
"1062";"T001038";"10000";"G008533";"1010   ";"1999JJ00";"    4745"
"1063";"T001038";"10000";"G008533";"1010   ";"2000JJ00";"    3871"
"1064";"T001038";"10000";"G008533";"1010   ";"2001JJ00";"    3609"
"1065";"T001038";"10000";"G008533";"1010   ";"2002JJ00";"    2273"
"1066";"T001038";"10000";"G008533";"1010   ";"2003JJ00";"    1434"
"1067";"T001038";"10000";"G008533";"1010   ";"2004JJ00";"     596"
"1068";"T001038";"10000";"G008533";"1010   ";"2005JJ00";"     529"
"1069";"T001038";"10000";"G008533";"1010   ";"2006JJ00";"     408"
"1070";"T001038";"10000";"G008533";"1010   ";"2007JJ00";"     337"
"1071";"T001038";"10000";"G008533";"1010   ";"2008JJ00";"     383"
"1072";"T001038";"10000";"G008533";"1010   ";"2009JJ00";"     778"
"1073";"T001038";"10000";"G008533";"1010   ";"2010JJ00";"    1218"
"1074";"T001038";"10000";"G008533";"1010   ";"2011JJ00";"    1251"
"1075";"T001038";"10000";"G008533";"1010   ";"2012JJ00";"     975"
"1076";"T001038";"10000";"G008533";"1010   ";"2013JJ00";"     838"
"1077";"T001038";"10000";"G008533";"1010   ";"2014JJ00";"     608"
"1078";"T001038";"10000";"G008533";"1010   ";"2015JJ00";"     607"
"1079";"T001038";"10000";"G008533";"1010   ";"2016JJ00";"    1683"
"1080";"T001038";"10000";"G008533";"1010   ";"2017JJ00";"     783"
"1081";"T001038";"10000";"G008533";"1020   ";"1995JJ00";"     204"
"1082";"T001038";"10000";"G008533";"1020   ";"1996JJ00";"     417"
"1083";"T001038";"10000";"G008533";"1020   ";"1997JJ00";"     569"
"1084";"T001038";"10000";"G008533";"1020   ";"1998JJ00";"     557"
"1085";"T001038";"10000";"G008533";"1020   ";"1999JJ00";"     709"
"1086";"T001038";"10000";"G008533";"1020   ";"2000JJ00";"     699"
"1087";"T001038";"10000";"G008533";"1020   ";"2001JJ00";"     832"
"1088";"T001038";"10000";"G008533";"1020   ";"2002JJ00";"     519"
"1089";"T001038";"10000";"G008533";"1020   ";"2003JJ00";"     386"
"1090";"T001038";"10000";"G008533";"1020   ";"2004JJ00";"     260"
"1091";"T001038";"10000";"G008533";"1020   ";"2005JJ00";"     236"
"1092";"T001038";"10000";"G008533";"1020   ";"2006JJ00";"     228"
"1093";"T001038";"10000";"G008533";"1020   ";"2007JJ00";"     177"
"1094";"T001038";"10000";"G008533";"1020   ";"2008JJ00";"     227"
"1095";"T001038";"10000";"G008533";"1020   ";"2009JJ00";"     306"
